sequence,offset,length,ts_ns,port_id,queue_id,face_id,cpi,channel,prt,packet_index,packet_kind,validation
158,323584,2048,122955625844156,0,0,0,1,2,6,5,data_packet,ok
159,325632,2048,122956621256646,0,0,0,1,2,6,6,data_packet,ok
160,327680,2048,122957616038537,0,0,0,1,2,6,7,data_packet,ok
161,329728,2048,122958616410211,0,0,0,1,2,6,8,data_packet,ok
162,331776,2048,122959611043867,0,0,0,1,2,6,9,data_packet,ok
163,333824,2048,122960611758060,0,0,0,1,0,7,1,data_packet,ok
164,335872,2048,122961610064537,0,0,0,1,0,7,2,data_packet,ok
165,337920,2048,122962609698663,0,0,0,1,0,7,3,data_packet,ok
166,339968,2048,122963607749942,0,0,0,1,0,7,4,data_packet,ok
167,342016,2048,122964616794533,0,0,0,1,0,7,5,data_packet,ok
168,344064,2048,122965622383446,0,0,0,1,0,7,6,data_packet,ok
169,346112,2048,122966624789568,0,0,0,1,0,7,7,data_packet,ok
170,348160,2048,122967627339207,0,0,0,1,0,7,8,data_packet,ok
171,350208,2048,122968639751892,0,0,0,1,0,7,9,data_packet,ok
172,352256,2048,122969641083201,0,0,0,1,1,7,1,data_packet,ok
173,354304,2048,122970643377995,0,0,0,1,1,7,2,data_packet,ok
174,356352,2048,122971637905223,0,0,0,1,1,7,3,data_packet,ok
175,358400,2048,122972643186194,0,0,0,1,1,7,4,data_packet,ok
176,360448,2048,122973654878693,0,0,0,1,1,7,5,data_packet,ok
177,362496,2048,122974665142439,0,0,0,1,1,7,6,data_packet,ok
178,364544,2048,122975662285618,0,0,0,1,1,7,7,data_packet,ok
179,366592,2048,122976660741650,0,0,0,1,1,7,8,data_packet,ok
180,368640,2048,122977653572484,0,0,0,1,1,7,9,data_packet,ok
181,370688,2048,122978665154234,0,0,0,1,2,7,1,data_packet,ok
182,372736,2048,122979658559101,0,0,0,1,2,7,2,data_packet,ok
